Species
Vitling
Tejstefisk
Tobis (kust-/havs-)
Tångsnälla
Makrill
Stubb (sand/ler)
Tångräka obestämd
Lax
Mindre kantnål
Knipa
Gulål
Stensnultra
Kantnålsfisk obestämd
Småspigg
Svärta
Harr
Karpfisk obestämd
Skäggsimpa
Ål
Ejder
Havstobis
Näbbgädda
Obestämd fiskart
Regnbåge
Sjöorre
Storskrake
Andfågel obestämd
Blankål
Sillfisk obestämd
Större ringbuk
Tunga
Dopping obestämd
Flodkräfta
Färna
Hästräka
Knubbsäl
Lax/öring obestämd
Lyrtorsk
Röding
Sandskädda
Sandstubb
Simpa obestämd
Skäggdopping
Skärsnultra
Smörbult obestämd
Staksill
Tångspigg
Ullhandskrabba
Vigg
simpa (Berg-/Sten-)
Björkna eller braxen
Strandkrabba
